SNo,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,PE Ratio,Face Value,OPS,NOPS,NPM
70,14-Jul-20,EQ,"1,062.60","1,068.90","1,050.00","1,080.25","1,061.45","1,058.85","1,057.27","2,429.00",738.75,13306511,"14,068,551,633.70",296972,22.059375,1,96.97,222.84,22.3
71,15-Jul-20,EQ,"1,070.20","1,079.00","1,050.10","1,058.85","1,054.75","1,053.15","1,066.96","2,429.00",738.75,10487246,"11,189,519,775.55",177552,21.940625,1,96.97,222.84,22.3
72,16-Jul-20,EQ,"1,053.65","1,065.50","1,034.10","1,053.15","1,059.15","1,062.55","1,048.11","2,429.00",738.75,11831256,"12,400,487,286.25",204641,22.13645833,1,96.97,222.84,22.3
73,17-Jul-20,EQ,"1,059.05","1,104.00","1,058.30","1,062.55","1,103.35","1,098.45","1,080.41","2,429.00",738.75,14202933,"15,345,022,436.10",217615,22.884375,1,96.97,222.84,22.3
74,20-Jul-20,EQ,"1,135.00","1,152.90","1,124.15","1,098.45","1,130.00","1,133.05","1,138.35","2,349.85",738.75,32562064,"37,067,090,452.55",505889,23.60520833,1,96.97,222.84,22.3
75,21-Jul-20,EQ,"1,152.05","1,157.95","1,134.00","1,133.05","1,139.90","1,138.55","1,142.37","2,349.85",738.75,23757768,"27,140,071,773.55",281983,23.71979167,1,96.97,222.84,22.3
76,22-Jul-20,EQ,"1,138.50","1,144.50","1,117.55","1,138.55","1,128.00","1,126.35","1,124.94","2,349.85",738.75,12359024,"13,903,126,763.35",189616,23.465625,1,96.97,222.84,22.3
77,23-Jul-20,EQ,"1,125.00","1,143.90","1,116.25","1,126.35","1,129.80","1,130.40","1,133.04","2,349.85",738.75,10074805,"11,415,185,695.25",179616,23.55,1,96.97,222.84,22.3
78,24-Jul-20,EQ,"1,122.90","1,122.90","1,101.25","1,130.40","1,120.00","1,119.10","1,112.21","2,349.85",738.75,9799222,"10,898,804,741.95",166565,23.31458333,1,96.97,222.84,22.3
79,27-Jul-20,EQ,"1,099.85","1,103.00","1,075.35","1,119.10","1,079.95","1,079.50","1,084.25","2,289.00",738.75,18985167,"20,584,576,451.50",312366,22.48958333,1,96.97,222.84,22.3
80,28-Jul-20,EQ,"1,079.00","1,094.40","1,059.50","1,079.50","1,084.70","1,086.65","1,080.90","2,289.00",738.75,17798330,"19,238,296,402.20",311878,22.63854167,1,96.97,222.84,22.3
81,29-Jul-20,EQ,"1,081.00","1,088.50","1,055.55","1,086.65","1,065.00","1,064.60","1,072.25","2,289.00",738.75,16796652,"18,010,253,418.00",303428,22.17916667,1,96.97,222.84,22.3
82,30-Jul-20,EQ,"1,074.00","1,083.65","1,046.70","1,064.60","1,050.45","1,050.65","1,064.47","2,289.00",738.75,13478951,"14,347,987,979.40",251700,21.88854167,1,96.97,222.84,22.3
83,31-Jul-20,EQ,"1,057.70","1,057.70","1,020.05","1,050.65","1,033.25","1,032.80","1,031.43","2,289.00",738.75,18865230,"19,458,084,557.50",325344,21.51666667,1,96.97,222.84,22.3
84,3-Aug-20,EQ,"1,025.95","1,026.95",993,"1,032.80","1,005.90","1,002.00","1,007.50","2,289.00",738.75,15891781,"16,011,037,011.45",343632,20.875,1,96.97,222.84,22.3
85,4-Aug-20,EQ,"1,008.00","1,061.05","1,003.00","1,002.00","1,040.20","1,041.65","1,039.32","2,289.00",738.75,30153418,"31,339,154,328.15",472527,21.70104167,1,96.97,222.84,22.3
86,5-Aug-20,EQ,"1,047.95","1,055.80","1,020.00","1,041.65","1,030.95","1,027.55","1,035.64","2,289.00",738.75,16610696,"17,202,655,726.05",270414,21.40729167,1,96.97,222.84,22.3
87,6-Aug-20,EQ,"1,037.00","1,055.00","1,026.25","1,027.55","1,041.45","1,040.70","1,041.75","2,289.00",738.75,16823558,"17,525,988,624.40",245766,21.68125,1,96.97,222.84,22.3
88,7-Aug-20,EQ,"1,034.85","1,047.20","1,020.60","1,040.70","1,043.85","1,043.85","1,034.69","2,289.00",738.75,12418816,"12,849,598,351.00",178249,21.746875,1,96.97,222.84,22.3
89,10-Aug-20,EQ,"1,044.00","1,064.00","1,043.80","1,043.85","1,052.00","1,050.65","1,055.90","2,288.80",738.75,11086465,"11,706,189,103.00",166247,21.88854167,1,96.97,222.84,22.3
